GenID,True,Predicted,PhotonPredicted
3400,1,1,2
3401,10,10,10
3410,0,0,0
3411,1,1,2
3421,0,0,0
3430,3,3,6
3431,1,1,2
3441,3,3,5
3450,1,1,2
3451,1,1,2
3460,10,11,11
3461,1,1,2
3471,1,1,2
3481,1,1,2
3490,1,1,2
3491,-11,2,3
3501,0,0,0
3510,1,1,2
3511,1,1,2
3521,1,1,2
3530,11,11,12
3540,1,-20,-20
3541,1,-20,-20
3550,1,1,1
3560,0,0,0
3561,1,1,1
3581,12,2,4
3591,2,-20,-20
3600,1,1,2
3601,1,1,1
3611,1,1,1
3620,2,2,4
3621,2,2,3
3630,11,11,12
3631,0,10,10
3640,11,11,12
3641,1,1,2
3650,1,1,2
3651,1,1,2
3660,11,11,12
3681,0,-20,-20
3691,1,1,2
3701,1,1,2
3711,0,0,0
3720,2,2,4
3721,11,11,12
3731,-13,0,0
3741,1,1,2
3760,1,1,2
3761,0,0,0
3770,2,2,4
3771,1,1,2
3780,1,1,2
3790,1,2,3
3801,1,1,1
3811,1,2,3
3831,0,0,0
3841,2,2,4
3850,2,1,1
3860,2,3,5
3870,1,1,2
3871,0,-20,-20
3901,1,1,2
3930,1,2,3
3940,1,1,2
3941,0,0,0
3951,1,1,1
3980,2,3,6
3981,1,1,2
3990,10,10,10
3991,0,0,0
4000,2,2,4
4001,1,1,1
4010,0,0,0
4011,0,0,0
4021,1,-20,-20
4030,0,0,0
4041,1,1,2
4050,0,0,0
4060,1,-20,-20
4071,10,10,10
4081,0,0,0
4100,3,3,6
4110,11,11,11
4111,1,2,3
4120,1,3,6
4121,1,1,1
4131,2,2,4
4140,1,2,3
4151,1,2,3
4160,1,1,2
4161,1,0,0
4181,1,2,3
4190,0,0,0
4191,1,1,2
4201,0,-20,-20
4210,1,1,2
4211,10,10,10
4220,0,0,0
4230,0,0,0
4231,2,2,4
4240,0,-20,-20
4250,0,0,0
4251,2,2,4
4271,0,0,0
4280,1,1,2
4281,0,0,0
4290,0,0,0
4300,0,2,3
4301,10,11,12
4310,0,0,0
4311,1,1,2
4321,1,1,2
4331,10,10,10
4341,10,-20,-20
4350,2,2,4
4370,2,2,3
4371,0,0,0
4380,1,2,3
4381,0,0,0
4390,2,2,3
4391,1,-20,-20
4400,10,10,10
4401,1,1,2
4410,0,0,0
4420,0,0,0
4421,2,2,4
4430,1,-20,-20
4441,2,3,6
4451,1,2,3
4460,0,0,0
4470,2,2,4
4480,0,0,0
4481,0,0,0
4490,1,2,3
4491,1,1,1
4501,-11,0,0
4510,11,12,13
4511,10,10,10
4520,1,1,2
4531,0,1,1
4540,10,10,10
4550,2,2,4
4551,1,1,2
4561,2,2,4
4570,11,-20,-20
4571,3,4,7
4580,0,1,1
4591,1,1,1
4600,1,1,2
4601,10,10,10
4610,-11,2,3
4611,2,4,7
4621,1,2,3
4630,0,0,0
4631,2,2,4
4641,1,2,3
4650,11,11,12
4660,1,-20,-20
4670,2,2,4
4680,2,-20,-20
4681,0,0,0
4690,0,0,0
4691,2,2,3
4710,2,2,3
4711,10,10,10
4720,2,-20,-20
4730,0,2,4
4731,0,-20,-20
4750,10,10,10
4761,10,10,10
4770,0,0,0
4771,1,2,3
4800,10,14,18
4810,1,1,2
4811,2,-20,-20
4831,-11,1,2
4840,10,10,10
4841,2,2,4
4851,11,12,13
4860,12,12,13
4861,1,1,1
4871,1,2,3
4881,1,1,2
4891,0,0,0
4900,1,1,2
4901,1,1,2
4910,1,1,2
4920,11,12,14
4930,3,3,5
4931,1,-20,-20
4941,10,-1,-1
4950,1,1,1
4961,1,2,4
4981,1,1,1
4991,1,-20,-20
5001,1,2,3
5011,0,0,0
5031,1,-20,-20
5041,1,1,1
5060,10,10,10
5061,10,10,10
5070,11,11,12
5071,11,11,12
5080,1,1,2
5081,2,3,5
5090,-11,1,2
5100,1,2,3
5110,2,2,4
5130,1,1,2
5131,10,0,0
5150,1,1,2
5151,1,1,2
5160,1,1,1
5181,1,1,2
5190,10,10,10
5200,1,1,1
5201,0,0,0
5210,1,1,2
5211,1,1,2
5220,1,1,2
5221,1,1,1
5230,2,2,4
5240,-11,-1,-1
5241,1,-20,-20
5250,0,-20,-20
5260,2,2,4
5261,10,10,10
5271,2,2,4
5281,2,0,0
5290,1,2,4
5300,0,0,0
5301,1,1,2
5310,1,1,2
5331,1,2,3
5340,11,11,12
5341,2,2,4
5360,0,0,0
5380,0,0,0
5381,10,-20,-20
5401,1,1,2
5411,1,1,1
5420,0,-20,-20
5440,1,1,2
5441,0,0,0
5450,2,2,4
5460,12,12,14
5470,2,2,4
5480,-13,0,0
5481,2,12,14
5490,2,-20,-20
5500,1,1,1
5501,0,0,0
5510,10,10,10
5511,10,10,10
5520,-11,1,2
5541,0,0,0
5550,1,1,2
5551,1,-20,-20
5560,10,10,10
5561,2,2,3
5571,1,1,2
5590,11,1,2
5600,1,-20,-20
5601,1,1,2
5610,-11,2,3
5611,0,0,0
5620,-13,0,0
5631,1,1,2
5640,10,-20,-20
5651,-11,2,3
5660,1,1,1
5661,10,11,11
5670,-13,0,0
5671,1,-20,-20
5681,2,2,3
5690,2,2,4
5700,1,1,1
5701,1,1,2
5720,1,1,1
5721,10,-20,-20
5740,1,1,2
5761,2,2,4
5790,1,-20,-20
5791,1,1,2
5801,1,1,2
5810,11,11,12
5811,1,-20,-20
5821,3,2,4
5831,-11,1,2
5840,11,11,12
5850,0,0,0
5851,0,0,0
5860,1,-20,-20
5880,0,-20,-20
5891,1,1,2
5910,1,1,2
5930,11,12,14
5940,2,1,2
5941,0,0,0
5960,1,1,2
5961,1,1,2
5970,0,-20,-20
5971,1,-20,-20
5991,-13,0,0
6000,1,1,2
6001,1,-20,-20
6010,1,2,3
6011,0,0,0
6020,11,11,12
6040,2,-1,-1
6041,2,2,4
6050,1,1,2
6070,10,10,10
6080,10,10,10
6081,10,10,10
6101,0,0,0
6111,0,0,0
6120,1,1,2
6121,1,1,2
6131,4,4,8
6140,1,1,2
6160,2,2,4
6161,1,1,1
6170,2,-20,-20
6171,2,-20,-20
6180,1,1,2
6201,1,2,3
6230,10,-20,-20
6240,11,-20,-20
6250,1,1,2
6271,1,1,2
6280,1,-20,-20
6290,1,2,4
6300,1,1,2
6301,1,1,2
6320,1,1,2
6321,0,0,0
6331,1,1,2
6340,0,-20,-20
6350,1,1,2
6351,2,2,4
6360,0,0,0
6380,0,0,0
6391,1,1,2
6400,3,3,6
6411,11,11,12
6420,0,-20,-20
6421,0,0,0
6431,11,-20,-20
6440,-13,0,0
6441,0,0,0
6451,1,1,2
6460,1,-20,-20
6470,-13,0,0
6480,1,2,3
6500,2,1,2
6501,1,1,2
6521,11,-20,-20
6530,0,0,0
6551,1,1,2
6560,10,10,10
6561,1,1,2
6610,10,10,10
6611,1,1,1
6621,0,1,1
6651,10,-1,-1
6661,1,1,2
6670,0,-20,-20
6671,0,0,0
6681,1,1,2
6690,1,1,2
6691,0,0,0
6710,1,-20,-20
6711,0,0,0
6730,1,1,2
6741,1,2,3
6750,1,-20,-20
6751,1,1,2
6780,1,1,2
6781,0,0,0
6790,-11,0,0
6791,1,1,2
6800,1,1,2
6810,-13,0,0
6821,0,0,0
6830,-13,0,0
6840,0,0,0
6850,1,12,13
6860,0,0,0
6861,10,10,10
6871,10,10,10
6880,1,-20,-20
6881,0,0,0
6891,0,0,0
6901,1,1,2
6910,1,1,2
6920,2,2,4
6940,1,2,3
6941,2,2,4
6951,1,1,2
6960,11,11,12
6961,10,-20,-20
6970,1,1,2
6981,1,1,2
7000,1,1,2
7001,1,1,2
7010,11,11,12
7011,2,2,4
7021,12,12,13
7030,10,-20,-20
7050,1,1,2
7051,1,1,2
7061,0,-20,-20
7070,-11,0,0
7080,2,2,3
7090,11,11,12
7091,0,3,5
7100,0,0,0
7101,1,1,2
7110,3,-20,-20
7111,1,2,3
7120,-13,0,0
7121,0,0,0
7141,2,2,3
7151,2,2,4
7160,10,-20,-20
7171,10,10,10
7181,2,2,4
7200,1,1,2
7201,0,0,0
7210,1,1,2
7211,1,1,2
7220,0,0,0
7221,1,1,2
7230,-11,1,2
7231,0,0,0
7260,0,0,0
7261,1,1,2
7280,0,0,0
7281,1,1,2
7290,2,2,4
7291,1,1,2
7300,11,11,12
7301,1,2,3
7310,1,1,2
7311,10,14,17
7320,2,2,4
7321,11,11,11
7330,0,-20,-20
7331,1,1,2
7340,1,1,2
7350,0,0,0
7351,4,2,4
7360,1,1,2
7370,0,0,0
7381,12,12,14
7400,10,-20,-20
7401,10,10,10
7410,1,1,1
7430,0,0,0
7440,1,1,1
7441,1,1,2
7450,1,1,2
7451,2,-20,-20
7470,1,1,1
7480,10,10,10
7490,2,2,4
7500,10,10,10
7510,-11,1,2
7521,1,1,2
7530,10,-20,-20
7531,1,1,2
7550,11,11,11
7560,2,2,3
7581,1,1,2
7590,1,1,2
7600,2,2,4
7630,10,10,10
7640,0,0,0
7641,-11,1,1
7650,-11,1,2
7661,1,1,2
7670,-13,0,0
7700,2,1,1
7720,3,3,5
7721,1,-20,-20
7741,1,1,2
7750,11,11,12
7751,1,1,2
7761,2,2,4
7771,2,2,4
7780,1,1,2
7781,1,2,4
7790,1,1,2
7791,1,-20,-20
7800,1,1,2
7801,0,0,0
7811,1,1,2
7820,10,10,10
7821,-13,0,0
7831,0,0,0
7840,11,-20,-20
7861,1,1,1
7871,10,-20,-20
7880,2,3,5
7881,11,12,13
7890,3,3,6
7900,2,2,4
7910,1,1,2
7921,1,1,2
7940,2,2,4
7941,1,1,2
7951,10,10,10
7960,10,-20,-20
7961,0,0,0
7970,0,0,0
7991,2,-20,-20
8001,11,11,12
8010,2,2,4
8021,0,0,0
8030,1,1,1
8031,0,-20,-20
8061,0,0,0
8070,0,0,0
8071,1,1,2
8080,1,-20,-20
8100,2,2,4
8111,10,-1,-1
8130,10,10,10
8131,11,-20,-20
8140,0,1,2
8150,10,10,10
8151,10,-1,-1
8160,1,1,2
8161,0,0,0
8190,11,11,12
8191,3,4,7
8200,3,3,5
8211,0,0,0
8220,-13,0,0
8221,10,10,10
8230,1,0,0
8241,0,0,0
8251,2,2,4
8260,10,10,10
8261,1,1,2
8271,10,11,11
8280,2,2,4
8300,10,12,13
8301,0,0,0
8310,2,3,5
8320,1,1,2
8321,-11,1,1
8330,1,1,2
8341,1,2,3
8350,-13,0,0
8351,1,0,0
8353,1,1,2
8360,0,0,0
8380,0,0,0
8400,0,0,0
8401,1,1,2
8410,0,0,0
8411,0,0,0
8421,2,2,3
8440,1,1,1
8441,0,0,0
8450,0,0,0
8460,10,-20,-20
8470,1,1,2
8490,1,1,2
8491,1,1,2
8501,2,2,4
8511,2,2,3
8520,1,2,3
8521,1,1,2
8530,1,1,2
8531,0,0,0
8541,10,10,10
8550,11,12,14
8551,2,2,3
8561,1,1,2
8570,1,-20,-20
8571,1,3,6
8580,11,-1,-1
8581,-11,1,2
8590,-13,0,0
8610,0,0,0
8621,0,-20,-20
8630,1,1,2
8631,1,1,2
8640,1,1,2
8651,0,0,0
8680,11,11,12
8690,1,1,2
8691,0,0,0
8700,1,1,2
8701,10,10,10
8710,1,1,2
8711,1,1,1
8731,1,1,2
8740,0,0,0
8750,10,10,10
8751,2,2,4
8760,1,-20,-20
8761,1,1,2
8781,0,0,0
8791,1,1,2
8800,10,10,10
8801,1,-20,-20
8810,10,10,10
8811,2,2,4
8821,1,1,2
8831,2,-20,-20
8840,10,10,10
8860,10,10,10
8870,1,3,6
8881,0,0,0
8890,0,0,0
8910,1,1,2
8920,1,1,2
8930,2,2,3
8931,11,11,12
8941,1,1,2
8951,2,2,4
8960,1,1,1
8961,1,-20,-20
8981,0,0,0
8990,10,10,10
9010,10,-20,-20
9011,11,11,11
9020,1,1,2
9021,0,-20,-20
9031,1,1,1
9050,1,1,2
9071,1,1,2
9080,1,1,1
9081,1,1,2
9090,1,1,2
9111,1,1,2
9121,1,1,2
9130,0,-20,-20
9131,10,10,10
9140,2,2,4
9141,1,-20,-20
9170,1,1,2
9190,-13,0,0
9191,1,1,1
9210,0,0,0
9230,2,2,4
9251,0,0,0
9260,0,-20,-20
9261,1,-20,-20
9271,2,2,4
9280,10,10,10
9281,-13,0,0
9290,2,2,4
9291,4,4,8
9311,1,1,2
9320,10,10,10
9321,1,-20,-20
9331,1,1,1
9341,0,2,4
9360,1,1,2
9361,0,0,0
9371,10,-20,-20
9380,10,10,10
9391,10,11,11
9400,1,-20,-20
9411,-13,0,0
9421,1,1,2
9431,1,1,2
9440,2,2,3
9460,0,0,0
9461,10,10,10
9470,3,-20,-20
9481,-13,1,1
9490,0,1,1
9500,1,1,2
9501,0,-20,-20
9520,10,10,10
9521,0,-20,-20
9531,0,0,0
9540,10,10,10
9560,2,2,4
9561,1,1,1
9570,0,0,0
9571,1,1,1
9590,11,11,12
9591,1,1,2
9600,11,1,2
9601,1,1,2
9610,-13,0,0
9611,1,1,2
9621,1,1,2
9630,10,-20,-20
9640,1,1,2
9641,1,1,2
9650,0,0,0
9660,2,3,5
9671,2,2,4
9680,1,-20,-20
9681,10,-20,-20
9690,0,2,4
9691,1,-1,-1
9701,0,0,0
9711,1,1,2
9720,10,10,10
9730,1,1,1
9731,0,0,0
9740,1,1,2
9760,10,10,10
9761,10,-20,-20
9790,0,0,0
9791,-13,0,0
9800,2,2,4
9810,1,1,2
9811,1,1,2
9820,0,1,1
9821,10,10,10
9830,2,2,4
9831,1,1,2
9840,1,-20,-20
9861,2,1,2
9881,10,10,10
9890,0,-20,-20
9891,0,0,0
9901,0,0,0
9910,1,1,2
9911,11,11,12
9920,-11,0,0
9921,2,2,4
9940,0,0,0
9950,1,1,2
9961,2,2,4
9970,10,10,10
9990,1,-20,-20
